16.05 20:08:30> Started trip loader task
16.05 20:09:35> Started trip loader task
16.05 20:11:14> Started trip loader task
16.05 20:12:51> Started trip loader task
16.05 20:14:03> Started trip loader task
16.05 20:14:04> 1: [461849] ПИЗА | 7д | 2348 км | 5181р | R1398
16.05 20:15:38> 150: [459138] COPENHAGEN | 3д | 1559 км | 10541р | R290
16.05 20:15:38> 151: [464465] АТЛАНТА | 137д | 8654 км | 30108р | R289
16.05 20:15:38> 152: [451009] БЕЛГРАД | 7д | 1714 км | 11163р | R288
16.05 20:15:38> 153: [448285] САН-ФРАНЦИСКО | 14д | 9447 км | 34525р | R284
16.05 20:15:38> 154: [459348] ПХУКЕТ | 15д | 7462 км | 27686р | R284
16.05 20:15:38> 155: [466806] КИТО | 49д | 11619 км | 63621р | R283
16.05 20:15:38> 156: [466072] САРАЕВО | 7д | 1905 км | 14229р | R282
16.05 20:15:38> 157: [459123] CINCINNATI | 48д | 8143 км | 39721р | R275
16.05 20:15:38> 158: [454613] BELFAST | 7д | 2723 км | 21890р | R272
16.05 20:15:38> 159: [466476] ХЬЮСТОН | 29д | 9518 км | 34678р | R272
16.05 20:15:38> 160: [448175] ТАЛЛИН | 10д | 867 км | 10066р | R262
16.05 20:15:38> 161: [448688] ФРАНКФУРТ | 4д | 2031 км | 10196р | R261
16.05 20:15:38> 162: [450885] БУЭНОС-АЙРЕС | 31д | 13479 км | 69577р | R256
16.05 20:15:38> 163: [448884] ГОНОЛУЛУ | 16д | 11325 км | 56347р | R252
16.05 20:15:38> 164: [466817] БАНДУНГ | 14д | 9423 км | 46839р | R246
16.05 20:15:38> 165: [466686] СОФИЯ | 30д | 1775 км | 12539р | R245
16.05 20:15:38> 166: [459080] CALGARY | 8д | 7847 км | 54025р | R245
16.05 20:15:38> 167: [454608] PHILIPSBURG | 8д | 9009 км | 47750р | R234
16.05 20:15:38> 168: [459490] ПЕРТ | 14д | 12222 км | 54191р | R234
16.05 20:15:38> 169: [453247] КУАЛА-ЛУМПУР | 14д | 8129 км | 27543р | R227
16.05 20:15:38> 170: [454599] CANBERRA | 14д | 14491 км | 70929р | R220
16.05 20:15:38> 171: [458008] КОЧИ | 18д | 6086 км | 33872р | R217
16.05 20:15:38> 172: [466819] ЧЕННАЙ | 39д | 5991 км | 32599р | R215
16.05 20:15:38> 173: [471434] РИГА | 4д | 849 км | 8309р | R211
16.05 20:15:38> 174: [459262] БОСТОН | 27д | 7221 км | 36233р | R209
16.05 20:15:38> 175: [455626] PORTLAND | 112д | 7070 км | 31751р | R207
16.05 20:15:38> 176: [461612] НОВОСИБИРСК | 4д | 2797 км | 11217р | R206
16.05 20:15:38> 177: [447084] БЕРЛИН | 3д | 1608 км | 8961р | R206
16.05 20:15:38> 178: [447822] ЧЭНДУ | 7д | 5789 км | 28668р | R203
16.05 20:15:38> 179: [459055] OSLO | 4д | 1643 км | 11701р | R202
16.05 20:15:38> 180: [451645] ЛОС-АНДЖЕЛЕС | 47д | 9772 км | 29338р | R201
16.05 20:15:38> 181: [451489] ВАРШАВА | 8д | 1156 км | 8794р | R197
16.05 20:15:38> 182: [466776] САН-СЕБАСТЬЯН | 12д | 3119 км | 29857р | R196
16.05 20:15:38> 183: [450207] ЗАДАР | 8д | 2039 км | 24443р | R196
16.05 20:15:38> 184: [466716] ТРАБЗОН | 13д | 1649 км | 15904р | R188
16.05 20:15:38> 185: [473835] ОРЛАНДО | 14д | 9017 км | 34861р | R184
16.05 20:15:38> 186: [461938] УФА | 4д | 1164 км | 6470р | R177
16.05 20:15:38> 187: [451065] ТБИЛИСИ | 186д | 1654 км | 8722р | R169
16.05 20:15:38> 188: [455168] PANAMA CITY | 14д | 10804 км | 43992р | R162
16.05 20:15:38> 189: [454610] BILLUND | 3д | 1769 км | 14328р | R157
16.05 20:15:38> 190: [448788] НИЖНИЙ НОВГОРОД | 42д | 387 км | 4470р | R154
16.05 20:15:38> 191: [454590] CEBU | 21д | 8837 км | 43316р | R151
16.05 20:15:38> 192: [466774] ГРАНАДА | 13д | 3692 км | 28896р | R147
16.05 20:15:38> 193: [459205] SEATTLE | 17д | 8373 км | 46341р | R143
16.05 20:15:38> 194: [448407] КАЗАНЬ | 3д | 731 км | 4241р | R138
16.05 20:15:38> 195: [459617] СИАНУКВИЛЬ | 15д | 7536 км | 64113р | R136
16.05 20:15:38> 196: [465748] САН-ПАУЛУ | 30д | 11818 км | 61561р | R120
16.05 20:15:38> 197: [447766] ЛИМА | 17д | 12649 км | 59373р | R117
16.05 20:15:38> 198: [465887] СИАНЬ | 9д | 5768 км | 37155р | R115
16.05 20:15:38> 199: [457194] ЕРЕВАН | 14д | 1805 км | 7563р | R114
16.05 20:15:38> 200: [454905] TRONDHEIM | 3д | 1735 км | 22759р | R112
16.05 20:15:38> 201: [466671] ЦИНДАО | 13д | 6328 км | 36038р | R109
16.05 20:15:38> 202: [454606] LEEDS | 1д | 2482 км | 21087р | R100
16.05 20:15:38> 203: [454542] KIEV | 10д | 756 км | 9335р | R100
16.05 20:15:38> 204: [448118] ВИЛЬНЮС | 9д | 791 км | 7805р | R96
16.05 20:15:38> 205: [451699] ЧАНГ МАЙ | 14д | 6514 км | 40583р | R96
16.05 20:15:38> 206: [448764] ЛАС-ВЕГАС | 5д | 9481 км | 39367р | R95
16.05 20:15:38> 207: [459543] БРЕСТ | 7д | 2934 км | 30456р | R83
16.05 20:15:38> 208: [461877] РОСТОВ-НА-ДОНУ | 6д | 957 км | 3743р | R82
16.05 20:15:38> 209: [459378] САНТО-ДОМИНГО | 15д | 9366 км | 52568р | R75
16.05 20:15:38> 210: [459309] ФОРТ-ЛОДЕРДЕЙЛ | 21д | 9188 км | 40989р | R73
16.05 20:15:38> 211: [459506] САН-ХОСЕ | 14д | 10961 км | 70442р | R70
16.05 20:15:38> 212: [448083] МАНИЛА | 14д | 8259 км | 33444р | R59
16.05 20:15:38> 213: [466769] САН-ДИЕГО | 40д | 9892 км | 47301р | R58
16.05 20:15:38> 214: [454604] JEDDAH | 14д | 3793 км | 39900р | R38
16.05 20:15:38> 215: [459513] КИШИНЁВ | 62д | 1149 км | 8040р | R32
16.05 20:15:38> 216: [447016] ПРАГА | 5д | 1668 км | 9863р | R28
16.05 20:15:38> 217: [459485] ДАЛЯНЬ | 17д | 6175 км | 35464р | R20
16.05 20:15:38> 218: [459126] SALT LAKE CITY | 21д | 8905 км | 47432р | R16
16.05 20:15:38> 219: [458956] SHANGHAI | 15д | 6819 км | 32918р | R11
16.05 20:17:50> Started trip loader task
16.05 20:17:51> 1: [461849] ПИЗА | 7д | 2348 км | 5181р | R1398
16.05 20:17:51> 2: [460556] РИМИНИ | 7д | 2196 км | 9254р | R1310
16.05 20:17:51> 3: [455192] TENERIFE | 7д | 5233 км | 12768р | R1118
16.05 20:17:51> 4: [459422] АВИНЬОН | 4д | 2659 км | 29477р | R1099
16.05 20:17:51> 5: [474084] ПАТТАЙЯ | 8д | 7196 км | 19806р | R1070
16.05 20:17:51> 6: [472127] ПАФОС | 7д | 2373 км | 18032р | R903
16.05 20:17:51> 7: [459496] СТРАСБУРГ | 7д | 2167 км | 9685р | R889
16.05 20:17:51> 8: [454469] ТУЛУЗА | 6д | 2890 км | 12448р | R861
16.05 20:17:51> 9: [448834] РЕЙКЬЯВИК | 3д | 3306 км | 17748р | R846
16.05 20:17:51> 10: [447665] ПАЛЕРМО | 5д | 2670 км | 14096р | R836
16.05 20:17:51> 11: [447140] МАРРАКЕШ | 8д | 4427 км | 15222р | R829
16.05 20:17:51> 12: [446962] ФЛОРЕНЦИЯ | 3д | 2293 км | 9132р | R826
16.05 20:17:51> 13: [455080] CASABLANCA | 7д | 4235 км | 13302р | R804
16.05 20:17:51> 14: [469888] НИЦЦА | 3д | 2537 км | 9934р | R795
16.05 20:17:51> 15: [448802] ВАРНА | 7д | 1558 км | 8908р | R777
16.05 20:17:51> 16: [450209] ПУЛА | 3д | 2054 км | 13118р | R765
16.05 20:17:51> 17: [455716] ABU DHABI | 8д | 3738 км | 18475р | R746
16.05 20:17:51> 18: [455185] MULHOUSE | 3д | 2244 км | 12133р | R737
16.05 20:17:51> 19: [465847] ЭДИНБУРГ | 8д | 2510 км | 12393р | R733
16.05 20:17:51> 20: [459859] МИЛАН | 7д | 2286 км | 7189р | R715
16.05 20:17:51> 21: [455479] FARO | 14д | 3968 км | 19163р | R715
16.05 20:17:51> 22: [459628] ПАЛЬМА | 15д | 3123 км | 13900р | R712
16.05 20:17:51> 23: [448956] ТИВАТ | 17д | 2011 км | 7901р | R708
16.05 20:17:51> 24: [448749] БОРДО | 14д | 2925 км | 16083р | R705
16.05 20:17:51> 25: [455536] HERAKLION | 11д | 2460 км | 13952р | R701
16.05 20:17:51> 26: [454911] BAHRAIN | 14д | 3443 км | 19834р | R698
16.05 20:17:51> 27: [448467] ФУНШАЛ | 8д | 4867 км | 20693р | R695
16.05 20:17:51> 28: [470136] ПОРТУ | 8д | 3689 км | 15364р | R685
16.05 20:17:51> 29: [454823] LIVERPOOL | 5д | 2587 км | 20926р | R670
16.05 20:17:51> 30: [459022] GENEVA | 5д | 2419 км | 11000р | R663
16.05 20:17:51> 31: [459453] АНТВЕРПЕН | 20д | 2232 км | 14390р | R659
16.05 20:17:51> 32: [466139] ПНОМ ПЕНЬ | 14д | 7534 км | 24855р | R657
16.05 20:17:51> 33: [448536] АФИНЫ | 5д | 2229 км | 10036р | R656
16.05 20:17:51> 34: [454814] EINDHOVEN | 5д | 2154 км | 14814р | R656
16.05 20:17:51> 35: [454887] TUNIS | 9д | 2939 км | 17947р | R651
16.05 20:17:51> 36: [472765] БАРСЕЛОНА | 10д | 3010 км | 10173р | R645
16.05 20:17:51> 37: [448441] ГЕЛЕНДЖИК | 12д | 1244 км | 8427р | R643
16.05 20:17:51> 38: [455188] SHANNON | 21д | 2987 км | 21531р | R641
16.05 20:17:51> 39: [448152] ТУРИН | 4д | 2404 км | 12652р | R640
16.05 20:17:51> 40: [463069] ХАНОЙ | 12д | 6717 км | 25261р | R636
16.05 20:17:51> 41: [466945] АСТАНА | 21д | 2280 км | 15943р | R618
16.05 20:17:51> 42: [448186] СЕВИЛЬЯ | 9д | 3820 км | 18103р | R608
16.05 20:17:51> 43: [447044] ЛИССАБОН | 4д | 3908 км | 12020р | R608
16.05 20:17:51> 44: [446736] РИМ | 9д | 2377 км | 9137р | R606
16.05 20:17:51> 45: [447731] БРЮССЕЛЬ | 3д | 2253 км | 10195р | R605
16.05 20:17:51> 46: [447615] НЕАПОЛЬ | 7д | 2374 км | 12988р | R601
16.05 20:17:51> 47: [455741] BIRMINGHAM | 14д | 2565 км | 13681р | R597
16.05 20:17:51> 48: [461316] ЛИОН | 5д | 2528 км | 12641р | R593
16.05 20:17:51> 49: [454413] КАИР | 15д | 2893 км | 17935р | R592
16.05 20:17:51> 50: [472118] КАРЛОВЫ ВАРЫ | 21д | 1755 км | 23817р | R591
16.05 20:17:51> 51: [466248] МЕХИКО | 20д | 10723 км | 34752р | R590
16.05 20:17:51> 52: [451131] САНТЬЯГО | 14д | 14125 км | 51580р | R588
16.05 20:17:51> 53: [448753] МАРСЕЛЬ | 3д | 2673 км | 13605р | R588
16.05 20:17:51> 54: [454819] MUSCAT | 3д | 3957 км | 20775р | R587
16.05 20:17:51> 55: [455162] STAVANGER | 5д | 1926 км | 14270р | R582
16.05 20:17:51> 56: [472323] ДРЕЗДЕН | 13д | 1651 км | 10810р | R575
16.05 20:17:51> 57: [455020] CATANIA | 7д | 2641 км | 13117р | R568
16.05 20:17:51> 58: [471673] АНТАЛЬЯ | 11д | 2159 км | 11106р | R563
16.05 20:17:51> 59: [454472] АММАН | 13д | 2676 км | 23836р | R559
16.05 20:17:51> 60: [474429] АЛМАТЫ | 6д | 3105 км | 10306р | R555
16.05 20:17:51> 61: [467872] БУДАПЕШТ | 5д | 1569 км | 7326р | R551
16.05 20:17:51> 62: [466210] БОЛОНЬЯ | 4д | 2232 км | 12487р | R550
16.05 20:17:51> 63: [447531] ПЕКИН | 7д | 5795 км | 18487р | R550
16.05 20:17:51> 64: [453181] ВЕРОНА | 10д | 2182 км | 10966р | R547
16.05 20:17:51> 65: [447923] ГОНКОНГ | 10д | 7151 км | 25035р | R543
16.05 20:17:51> 66: [450706] СЕУЛ | 7д | 6607 км | 22496р | R542
16.05 20:17:51> 67: [451280] НЬЮ-ДЕЛИ | 15д | 4343 км | 17602р | R538
16.05 20:17:51> 68: [454721] DAKAR | 14д | 6512 км | 35369р | R530
16.05 20:17:51> 69: [454726] HAVANA | 14д | 9603 км | 31808р | R528
16.05 20:17:51> 70: [449548] СПЛИТ | 38д | 2035 км | 16844р | R526
16.05 20:17:51> 71: [448777] МОНРЕАЛЬ | 11д | 7055 км | 28340р | R524
16.05 20:17:51> 72: [459096] BANGKOK | 19д | 7068 км | 21594р | R523
16.05 20:17:51> 73: [471859] ДЮССЕЛЬДОРФ | 7д | 2083 км | 7577р | R518
16.05 20:17:51> 74: [472014] МУМБАИ | 16д | 5027 км | 26532р | R512
16.05 20:17:51> 75: [450527] МАДРИД | 5д | 3441 км | 12060р | R511
16.05 20:17:51> 76: [448528] ДУБЛИН | 15д | 2790 км | 14264р | R506
16.05 20:17:51> 77: [459423] БАКУ | 132д | 1925 км | 7552р | R505
16.05 20:17:51> 78: [455521] GOTHENBORG | 4д | 1569 км | 10463р | R504
16.05 20:17:51> 79: [455391] LJUBLJANA | 24д | 1922 км | 12649р | R499
16.05 20:17:51> 80: [447074] ДУБРОВНИК | 7д | 2020 км | 15045р | R498
16.05 20:17:51> 81: [447779] ТОКИО | 7д | 7480 км | 27984р | R497
16.05 20:17:51> 82: [454438] КОЛОМБО | 14д | 6575 км | 24497р | R494
16.05 20:17:51> 83: [460041] АМСТЕРДАМ | 3д | 2148 км | 10260р | R491
16.05 20:17:51> 84: [451218] БАТУМИ | 7д | 1599 км | 13870р | R490
16.05 20:17:51> 85: [459569] МИКОНОС | 11д | 2235 км | 19877р | R479
16.05 20:17:51> 86: [459406] МАНЧЕСТЕР | 12д | 2543 км | 13486р | R479
16.05 20:17:51> 87: [451549] ХОШИМИН | 17д | 7713 км | 23978р | R476
16.05 20:17:51> 88: [455630] MALTA | 8д | 2821 км | 14752р | R467
16.05 20:17:51> 89: [448311] НЯЧАНГ | 11д | 7738 км | 31103р | R461
16.05 20:17:51> 90: [447177] ВЕНЕЦИЯ | 3д | 2103 км | 11013р | R461
16.05 20:17:51> 91: [455882] БАЛИ (ДЕНПАСАР) | 21д | 10047 км | 30187р | R452
16.05 20:17:51> 92: [448574] АНАПА | 8д | 1207 км | 7765р | R448
16.05 20:17:51> 93: [447407] ГУАНЧЖОУ | 7д | 6993 км | 22733р | R445
16.05 20:17:51> 94: [467428] ЛОНДОН | 12д | 2489 км | 11032р | R444
16.05 20:17:51> 95: [455761] GRAN CANARIA | 12д | 5188 км | 22818р | R444
16.05 20:17:51> 96: [471142] НЬЮ-ЙОРК | 12д | 7512 км | 23783р | R443
16.05 20:17:51> 97: [458897] CAPE TOWN | 14д | 10142 км | 38132р | R441
16.05 20:17:51> 98: [448881] ЙОХАННЕСБУРГ | 16д | 9161 км | 32517р | R441
16.05 20:17:51> 99: [449394] СТАМБУЛ | 158д | 1764 км | 6774р | R436
16.05 20:17:51> 100: [466747] КАЛЬЯРИ | 9д | 2788 км | 20483р | R435
16.05 20:17:51> 101: [454461] ГАННОВЕР | 3д | 1845 км | 10824р | R433
16.05 20:17:51> 102: [454915] NEWCASTLE | 12д | 2452 км | 19269р | R430
16.05 20:17:51> 103: [455435] NASSAU | 28д | 9147 км | 44552р | R427
16.05 20:17:51> 104: [459545] МОНПЕЛЬЕ | 9д | 2740 км | 22932р | R423
16.05 20:17:51> 105: [470670] ВЕНА | 9д | 1670 км | 6930р | R418
16.05 20:17:51> 106: [459620] НЮРНБЕРГ | 12д | 1910 км | 12668р | R414
16.05 20:17:51> 107: [450931] КРАКОВ | 5д | 1346 км | 14351р | R412
16.05 20:17:51> 108: [454617] BREMEN | 7д | 1876 км | 12444р | R410
16.05 20:17:51> 109: [466302] ТАЙБЭЙ | 9д | 7357 км | 32965р | R410
16.05 20:17:51> 110: [455706] BERGEN | 6д | 1946 км | 17263р | R404
16.05 20:17:51> 111: [473421] ДУБАЙ | 9д | 3682 км | 16377р | R398
16.05 20:17:51> 112: [448845] ОКЛЕНД | 10д | 16203 км | 48166р | R398
16.05 20:17:51> 113: [454947] PUNTA CANA | 15д | 9267 км | 38427р | R396
16.05 20:17:51> 114: [466970] КАТМАНДУ | 14д | 4894 км | 28756р | R395
16.05 20:17:51> 115: [448261] ГАМБУРГ | 3д | 1782 км | 10083р | R393
16.05 20:17:51> 116: [459586] ИРКУТСК | 8д | 4208 км | 22398р | R392
16.05 20:17:51> 117: [454398] ВАШИНГТОН | 7д | 7824 км | 31824р | R391
16.05 20:17:51> 118: [457263] ЕКАТЕРИНБУРГ | 3д | 1430 км | 4367р | R389
16.05 20:17:51> 119: [459280] АЛИКАНТЕ | 21д | 3410 км | 17419р | R383
16.05 20:17:51> 120: [466675] ЛЬВОВ | 8д | 1128 км | 9955р | R367
16.05 20:17:51> 121: [448723] ХУРГАДА | 7д | 3192 км | 22197р | R366
16.05 20:17:51> 122: [448889] ЧИКАГО | 24д | 8001 км | 32406р | R362
16.05 20:17:51> 123: [465880] СИЕМРЕАП | 10д | 7300 км | 35542р | R361
16.05 20:17:51> 124: [455189] CHRISTCHURCH | 14д | 16573 км | 62247р | R359
16.05 20:17:51> 125: [458997] HELSINKI | 4д | 894 км | 8073р | R357
16.05 20:17:51> 126: [459554] КВИНСТАУН | 14д | 16441 км | 65575р | R356
16.05 20:17:51> 127: [448297] МАЛАГА | 7д | 3779 км | 16224р | R355
16.05 20:17:51> 128: [448157] СИНГАПУР | 14д | 8431 км | 27749р | R353
16.05 20:17:51> 129: [455296] BUCHAREST | 15д | 1499 км | 11029р | R349
16.05 20:17:51> 130: [465922] СИДНЕЙ | 20д | 14500 км | 55623р | R347
16.05 20:17:51> 131: [455826] STUTTGART | 7д | 2067 км | 12290р | R346
16.05 20:17:51> 132: [446775] ПАРИЖ | 10д | 2487 км | 12401р | R342
16.05 20:17:51> 133: [466095] АЛЬГЕРО | 4д | 2714 км | 26056р | R340
16.05 20:17:51> 134: [458917] EDMONTON | 31д | 7580 км | 59220р | R336
16.05 20:17:51> 135: [459459] ТИРАНА | 15д | 2055 км | 16263р | R336
16.05 20:17:51> 136: [465902] ТЕЛЬ-АВИВ | 11д | 2650 км | 12563р | R335
16.05 20:17:51> 137: [448859] КАНКУН | 14д | 10014 км | 43073р | R327
16.05 20:17:51> 138: [448141] ДЖАКАРТА | 25д | 9314 км | 27178р | R321
16.05 20:17:51> 139: [465986] МИНСК | 8д | 675 км | 3553р | R319
16.05 20:17:51> 140: [466521] ОДЕССА | 17д | 1142 км | 10451р | R317
16.05 20:17:51> 141: [459397] ГЛАЗГО | 12д | 2576 км | 21382р | R316
16.05 20:17:51> 142: [447916] МЕЛЬБУРН | 14д | 14431 км | 53979р | R310
16.05 20:17:51> 143: [454621] THESSALONIKI | 8д | 2004 км | 9969р | R310
16.05 20:17:51> 144: [449214] РИО-ДЕ-ЖАНЕЙРО | 17д | 11542 км | 51577р | R309
16.05 20:17:51> 145: [448077] БАНГАЛОР | 7д | 5846 км | 28916р | R307
16.05 20:17:51> 146: [466717] ТОРОНТО | 8д | 7486 км | 34263р | R301
16.05 20:17:51> 147: [458951] SAN JUAN | 14д | 9146 км | 49131р | R297
16.05 20:17:51> 148: [459492] АГРА | 7д | 4519 км | 183177р | R293
16.05 20:17:51> 149: [447684] ЗАГРЕБ | 14д | 1869 км | 13363р | R291
16.05 20:17:51> 150: [459138] COPENHAGEN | 3д | 1559 км | 10541р | R290
16.05 20:17:51> 151: [464465] АТЛАНТА | 137д | 8654 км | 30108р | R289
16.05 20:17:51> 152: [451009] БЕЛГРАД | 7д | 1714 км | 11163р | R288
16.05 20:17:51> 153: [459348] ПХУКЕТ | 15д | 7462 км | 27686р | R284
16.05 20:17:51> 154: [448285] САН-ФРАНЦИСКО | 14д | 9447 км | 34525р | R284
16.05 20:17:51> 155: [466806] КИТО | 49д | 11619 км | 63621р | R283
16.05 20:17:51> 156: [466072] САРАЕВО | 7д | 1905 км | 14229р | R282
16.05 20:17:51> 157: [459123] CINCINNATI | 48д | 8143 км | 39721р | R275
16.05 20:17:51> 158: [454613] BELFAST | 7д | 2723 км | 21890р | R272
16.05 20:17:51> 159: [466476] ХЬЮСТОН | 29д | 9518 км | 34678р | R272
16.05 20:17:51> 160: [448175] ТАЛЛИН | 10д | 867 км | 10066р | R262
16.05 20:17:51> 161: [448688] ФРАНКФУРТ | 4д | 2031 км | 10196р | R261
16.05 20:17:51> 162: [450885] БУЭНОС-АЙРЕС | 31д | 13479 км | 69577р | R256
16.05 20:17:51> 163: [448884] ГОНОЛУЛУ | 16д | 11325 км | 56347р | R252
16.05 20:17:51> 164: [466817] БАНДУНГ | 14д | 9423 км | 46839р | R246
16.05 20:17:51> 165: [459080] CALGARY | 8д | 7847 км | 54025р | R245
16.05 20:17:51> 166: [466686] СОФИЯ | 30д | 1775 км | 12539р | R245
16.05 20:17:51> 167: [459490] ПЕРТ | 14д | 12222 км | 54191р | R234
16.05 20:17:51> 168: [454608] PHILIPSBURG | 8д | 9009 км | 47750р | R234
16.05 20:17:51> 169: [453247] КУАЛА-ЛУМПУР | 14д | 8129 км | 27543р | R227
16.05 20:17:51> 170: [454599] CANBERRA | 14д | 14491 км | 70929р | R220
16.05 20:17:51> 171: [458008] КОЧИ | 18д | 6086 км | 33872р | R217
16.05 20:17:51> 172: [466819] ЧЕННАЙ | 39д | 5991 км | 32599р | R215
16.05 20:17:51> 173: [471434] РИГА | 4д | 849 км | 8309р | R211
16.05 20:17:51> 174: [459262] БОСТОН | 27д | 7221 км | 36233р | R209
16.05 20:17:51> 175: [455626] PORTLAND | 112д | 7070 км | 31751р | R207
16.05 20:17:51> 176: [447084] БЕРЛИН | 3д | 1608 км | 8961р | R206
16.05 20:17:51> 177: [461612] НОВОСИБИРСК | 4д | 2797 км | 11217р | R206
16.05 20:17:51> 178: [447822] ЧЭНДУ | 7д | 5789 км | 28668р | R203
16.05 20:17:51> 179: [459055] OSLO | 4д | 1643 км | 11701р | R202
16.05 20:17:51> 180: [451645] ЛОС-АНДЖЕЛЕС | 47д | 9772 км | 29338р | R201
16.05 20:17:51> 181: [451489] ВАРШАВА | 8д | 1156 км | 8794р | R197
16.05 20:17:51> 182: [450207] ЗАДАР | 8д | 2039 км | 24443р | R196
16.05 20:17:51> 183: [466776] САН-СЕБАСТЬЯН | 12д | 3119 км | 29857р | R196
16.05 20:17:51> 184: [466716] ТРАБЗОН | 13д | 1649 км | 15904р | R188
16.05 20:17:51> 185: [473835] ОРЛАНДО | 14д | 9017 км | 34861р | R184
16.05 20:17:51> 186: [461938] УФА | 4д | 1164 км | 6470р | R177
16.05 20:17:51> 187: [451065] ТБИЛИСИ | 186д | 1654 км | 8722р | R169
16.05 20:17:51> 188: [455168] PANAMA CITY | 14д | 10804 км | 43992р | R162
16.05 20:17:51> 189: [454610] BILLUND | 3д | 1769 км | 14328р | R157
16.05 20:17:51> 190: [448788] НИЖНИЙ НОВГОРОД | 42д | 387 км | 4470р | R154
16.05 20:17:51> 191: [454590] CEBU | 21д | 8837 км | 43316р | R151
16.05 20:17:51> 192: [466774] ГРАНАДА | 13д | 3692 км | 28896р | R147
16.05 20:17:51> 193: [459205] SEATTLE | 17д | 8373 км | 46341р | R143
16.05 20:17:51> 194: [448407] КАЗАНЬ | 3д | 731 км | 4241р | R138
16.05 20:17:51> 195: [459617] СИАНУКВИЛЬ | 15д | 7536 км | 64113р | R136
16.05 20:17:51> 196: [465748] САН-ПАУЛУ | 30д | 11818 км | 61561р | R120
16.05 20:17:51> 197: [447766] ЛИМА | 17д | 12649 км | 59373р | R117
16.05 20:17:51> 198: [465887] СИАНЬ | 9д | 5768 км | 37155р | R115
16.05 20:17:51> 199: [457194] ЕРЕВАН | 14д | 1805 км | 7563р | R114
16.05 20:17:51> 200: [454905] TRONDHEIM | 3д | 1735 км | 22759р | R112
16.05 20:17:51> 201: [466671] ЦИНДАО | 13д | 6328 км | 36038р | R109
16.05 20:17:51> 202: [454542] KIEV | 10д | 756 км | 9335р | R100
16.05 20:17:51> 203: [454606] LEEDS | 1д | 2482 км | 21087р | R100
16.05 20:17:51> 204: [448118] ВИЛЬНЮС | 9д | 791 км | 7805р | R96
16.05 20:17:51> 205: [451699] ЧАНГ МАЙ | 14д | 6514 км | 40583р | R96
16.05 20:17:51> 206: [448764] ЛАС-ВЕГАС | 5д | 9481 км | 39367р | R95
16.05 20:17:51> 207: [459543] БРЕСТ | 7д | 2934 км | 30456р | R83
16.05 20:17:51> 208: [461877] РОСТОВ-НА-ДОНУ | 6д | 957 км | 3743р | R82
16.05 20:17:51> 209: [459378] САНТО-ДОМИНГО | 15д | 9366 км | 52568р | R75
16.05 20:17:51> 210: [459309] ФОРТ-ЛОДЕРДЕЙЛ | 21д | 9188 км | 40989р | R73
16.05 20:17:51> 211: [459506] САН-ХОСЕ | 14д | 10961 км | 70442р | R70
16.05 20:17:51> 212: [448083] МАНИЛА | 14д | 8259 км | 33444р | R59
16.05 20:17:51> 213: [466769] САН-ДИЕГО | 40д | 9892 км | 47301р | R58
16.05 20:17:51> 214: [454604] JEDDAH | 14д | 3793 км | 39900р | R38
16.05 20:17:51> 215: [459513] КИШИНЁВ | 62д | 1149 км | 8040р | R32
16.05 20:17:51> 216: [447016] ПРАГА | 5д | 1668 км | 9863р | R28
16.05 20:17:51> 217: [459485] ДАЛЯНЬ | 17д | 6175 км | 35464р | R20
16.05 20:17:51> 218: [459126] SALT LAKE CITY | 21д | 8905 км | 47432р | R16
16.05 20:17:51> 219: [458956] SHANGHAI | 15д | 6819 км | 32918р | R11
16.05 20:18:16> Started trip loader task
16.05 20:18:17> 1: [474737] НИЖНИЙ НОВГОРОД | 0д | 387 км | 4970р | R-314
16.05 20:18:17> 2: [473798] МИНСК | 1д | 675 км | 5068р | R-549
16.05 20:18:17> 3: [448955] РОСТОВ-НА-ДОНУ | 2д | 957 км | 5470р | R-863
16.05 20:18:17> 4: [466880] КАЗАНЬ | 1д | 731 км | 5470р | R-466
16.05 20:18:17> 5: [449356] САНКТ-ПЕТЕРБУРГ | 2д | 634 км | 5566р | R-1234
16.05 20:18:17> 6: [449015] УФА | 7д | 1164 км | 7270р | R-78
16.05 20:18:17> 7: [474559] КРАСНОДАР | 31д | 1197 км | 7470р | R-594
16.05 20:18:17> 8: [466208] ЕКАТЕРИНБУРГ | 5д | 1430 км | 7552р | R-406
16.05 20:18:17> 9: [459612] ВОРОНЕЖ | 29д | 451 км | 7615р | R-272
16.05 20:18:17> 10: [459542] КИШИНЁВ | 7д | 1149 км | 8477р | R-141
16.05 20:18:17> 11: [448595] АНАПА | 20д | 1207 км | 8819р | R257
16.05 20:18:17> 12: [459017] HELSINKI | 6д | 894 км | 9137р | R131
16.05 20:18:17> 13: [459345] ПЕРМЬ | 2д | 1141 км | 9600р | R-866
16.05 20:18:17> 14: [448135] ВИЛЬНЮС | 1д | 791 км | 9713р | R-470
16.05 20:18:17> 15: [459199] MUNICH | 11д | 1960 км | 9918р | R-393
16.05 20:18:17> 16: [449392] СТАМБУЛ | 20д | 1764 км | 10077р | R151
16.05 20:18:17> 17: [454511] KIEV | 24д | 756 км | 10158р | R9
16.05 20:18:17> 18: [447266] ВЕНА | 1д | 1670 км | 10875р | R-436
16.05 20:18:17> 19: [447043] ПРАГА | 6д | 1668 км | 11012р | R-179
